,Backbone,DivisionType,VideosType,IoU,mAP,Recall@1x,Recall@5x
10,omnivore_1s,environment,all,0.1,40.4,67.51,87.69
11,omnivore_1s,environment,all,0.2,39.48,64.45,85.32
12,omnivore_1s,environment,all,0.3,38.32,62.31,82.82
13,omnivore_1s,environment,all,0.4,36.54,58.66,78.11
14,omnivore_1s,environment,all,0.5,33.41,53.01,72.85
25,omnivore_1s,person,all,0.1,48.16,75.96,93.41
26,omnivore_1s,person,all,0.2,47.25,73.35,92.14
27,omnivore_1s,person,all,0.3,45.82,70.34,90.51
28,omnivore_1s,person,all,0.4,44.12,67.35,88.24
29,omnivore_1s,person,all,0.5,41.16,62.0,84.73
35,omnivore_1s,recordings,all,0.1,44.81,73.71,93.34
36,omnivore_1s,recordings,all,0.2,44.06,71.45,92.08
37,omnivore_1s,recordings,all,0.3,42.76,68.14,89.82
38,omnivore_1s,recordings,all,0.4,40.52,63.42,86.38
39,omnivore_1s,recordings,all,0.5,37.19,56.93,81.86
45,videomae,recordings,all,0.1,37.44,63.08,80.9
46,videomae,recordings,all,0.2,36.62,60.2,79.49
47,videomae,recordings,all,0.3,35.11,57.3,77.38
48,videomae,recordings,all,0.4,33.56,53.75,74.58
49,videomae,recordings,all,0.5,30.76,49.19,69.43
60,videomae,person,all,0.1,38.86,64.86,84.05
61,videomae,person,all,0.2,38.31,62.76,82.84
62,videomae,person,all,0.3,37.41,60.32,80.63
63,videomae,person,all,0.4,35.72,57.2,76.98
64,videomae,person,all,0.5,32.24,51.46,71.88
80,videomae,environment,all,0.1,28.12,51.76,73.0
81,videomae,environment,all,0.2,27.18,48.71,71.01
82,videomae,environment,all,0.3,26.38,46.16,67.87
83,videomae,environment,all,0.4,24.69,43.23,63.83
84,videomae,environment,all,0.5,21.35,37.12,57.81
95,slowfast,recordings,all,0.1,32.9,63.97,89.29
96,slowfast,recordings,all,0.2,32.38,61.91,87.45
97,slowfast,recordings,all,0.3,31.47,59.26,85.32
98,slowfast,recordings,all,0.4,30.24,55.92,81.71
99,slowfast,recordings,all,0.5,27.89,51.62,77.27
115,slowfast,environment,all,0.1,27.68,55.73,77.45
116,slowfast,environment,all,0.2,26.58,52.08,74.51
117,slowfast,environment,all,0.3,25.51,48.98,70.9
118,slowfast,environment,all,0.4,23.56,44.25,66.83
119,slowfast,environment,all,0.5,21.09,37.82,60.58
120,slowfast,person,all,0.1,32.77,63.22,90.43
121,slowfast,person,all,0.2,32.25,61.41,89.36
122,slowfast,person,all,0.3,31.21,58.82,86.82
123,slowfast,person,all,0.4,29.44,55.26,83.59
124,slowfast,person,all,0.5,27.25,50.7,79.49
140,omnivore_3s_45sub,person,all,0.1,51.4,79.98,94.71
141,omnivore_3s_45sub,person,all,0.2,51.02,78.49,93.78
142,omnivore_3s_45sub,person,all,0.3,50.06,75.64,91.87
143,omnivore_3s_45sub,person,all,0.4,48.45,71.59,89.38
144,omnivore_3s_45sub,person,all,0.5,45.46,66.47,85.99
160,omnivore_3s_45sub,environment,all,0.1,44.66,71.04,90.45
