,Backbone,DivisionType,VideosType,IoU,mAP,Recall@1x,Recall@5x
0,omnivore_1s,environment,error,0.1,12.51,19.6,27.06
1,omnivore_1s,environment,error,0.2,12.2,18.57,25.87
2,omnivore_1s,environment,error,0.3,11.66,17.54,24.45
3,omnivore_1s,environment,error,0.4,10.92,16.29,22.3
4,omnivore_1s,environment,error,0.5,9.94,14.63,20.96
20,omnivore_1s,person,error,0.1,21.28,31.51,40.93
21,omnivore_1s,person,error,0.2,20.85,30.34,40.48
22,omnivore_1s,person,error,0.3,20.12,28.81,39.6
23,omnivore_1s,person,error,0.4,19.38,27.22,38.16
24,omnivore_1s,person,error,0.5,18.08,24.96,36.77
40,omnivore_1s,recordings,error,0.1,19.54,31.28,41.24
41,omnivore_1s,recordings,error,0.2,19.13,30.34,40.36
42,omnivore_1s,recordings,error,0.3,18.4,28.66,39.33
43,omnivore_1s,recordings,error,0.4,17.59,26.97,37.49
44,omnivore_1s,recordings,error,0.5,16.27,24.28,35.35
55,videomae,recordings,error,0.1,15.43,25.94,33.97
56,videomae,recordings,error,0.2,14.94,24.65,33.44
57,videomae,recordings,error,0.3,14.44,23.23,32.35
58,videomae,recordings,error,0.4,13.88,21.48,31.01
59,videomae,recordings,error,0.5,12.96,19.83,28.99
70,videomae,person,error,0.1,16.98,27.43,37.76
71,videomae,person,error,0.2,16.72,26.45,37.03
72,videomae,person,error,0.3,16.46,25.53,36.03
73,videomae,person,error,0.4,15.73,23.87,34.19
74,videomae,person,error,0.5,14.64,22.03,32.07
75,videomae,environment,error,0.1,7.53,13.54,20.52
76,videomae,environment,error,0.2,7.22,12.1,19.77
77,videomae,environment,error,0.3,6.93,11.4,18.36
78,videomae,environment,error,0.4,6.54,10.48,17.09
79,videomae,environment,error,0.5,5.63,8.55,15.13
100,slowfast,recordings,error,0.1,14.11,27.52,39.19
101,slowfast,recordings,error,0.2,13.75,26.23,38.34
102,slowfast,recordings,error,0.3,13.34,24.91,37.19
