,,Recall@1x,Recall@1x,Recall@1x,Recall@1x,Recall@1x,Recall@5x,Recall@5x,Recall@5x,Recall@5x,Recall@5x,mAP,mAP,mAP,mAP,mAP
IoU,,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5
Backbone,DivisionType,,,,,,,,,,,,,,,
3dresnet,environment,36.54666666666667,34.91,32.25333333333333,29.396666666666665,25.626666666666665,51.72666666666667,50.22666666666667,48.126666666666665,45.303333333333335,41.24666666666666,19.040000000000003,18.503333333333334,17.37666666666667,16.53333333333333,14.303333333333333
3dresnet,person,42.04666666666667,40.513333333333335,37.733333333333334,34.85666666666666,31.19333333333333,59.306666666666665,58.056666666666665,56.50333333333333,54.53666666666667,51.24,20.893333333333334,20.486666666666668,19.776666666666667,18.723333333333333,16.69333333333333
3dresnet,recordings,40.76,39.25333333333334,37.21,34.73666666666667,31.026666666666667,56.94,56.093333333333334,54.77666666666667,52.29333333333333,48.856666666666676,20.88,20.44333333333333,19.84,18.94666666666667,17.153333333333332
omnivore_3s,environment,48.663333333333334,46.699999999999996,44.379999999999995,41.95333333333333,37.413333333333334,58.803333333333335,57.35333333333333,55.78666666666667,54.01333333333333,50.56666666666666,32.663333333333334,32.09666666666667,30.876666666666665,29.689999999999998,27.453333333333333
omnivore_3s,person,52.416666666666664,51.306666666666665,49.74,47.166666666666664,43.373333333333335,62.96333333333334,62.17666666666667,60.81999999999999,59.45000000000001,57.120000000000005,36.49,36.01,35.23,34.01333333333333,31.52
omnivore_3s,recordings,51.21333333333333,49.93333333333334,47.96,45.81333333333333,42.5,61.879999999999995,60.88666666666666,59.74,58.74,56.47333333333333,35.74666666666667,35.14333333333334,34.28,33.36333333333334,31.296666666666667
omnivore_4s,environment,47.89666666666667,46.52666666666667,43.28666666666667,40.74333333333333,37.70333333333334,60.51333333333333,58.74666666666667,57.553333333333335,55.43333333333334,51.96666666666667,32.1,31.599999999999998,30.49,29.336666666666662,27.523333333333337
omnivore_4s,person,52.88666666666666,51.593333333333334,49.49333333333333,47.61333333333334,44.04,62.95333333333334,62.306666666666665,61.11333333333334,59.96333333333333,57.01,36.95666666666667,36.443333333333335,35.61333333333334,34.74333333333333,32.406666666666666
omnivore_4s,recordings,52.406666666666666,51.06,49.21,47.300000000000004,44.11333333333334,62.620000000000005,62.02666666666667,60.66,59.199999999999996,56.99333333333333,36.36000000000001,35.79333333333333,34.910000000000004,33.81666666666667,31.810000000000002
slowfast,environment,37.15333333333333,34.723333333333336,32.656666666666666,29.50333333333333,25.213333333333335,51.63666666666666,49.67333333333334,47.26666666666667,44.550000000000004,40.38666666666666,20.09,19.26,18.456666666666667,17.073333333333334,15.273333333333333
slowfast,person,42.15,40.93666666666667,39.21333333333333,36.839999999999996,33.79666666666667,60.28333333333334,59.57333333333333,57.879999999999995,55.723333333333336,52.99333333333333,23.55666666666667,23.183333333333334,22.48,21.24,19.683333333333334
slowfast,recordings,42.65,41.276666666666664,39.50666666666667,37.28333333333333,34.41,59.526666666666664,58.300000000000004,56.879999999999995,54.47333333333333,51.51333333333333,23.263333333333332,22.900000000000002,22.28,21.41333333333333,19.803333333333335
videomae,environment,34.50666666666667,32.473333333333336,30.776666666666667,28.820000000000004,24.746666666666666,48.666666666666664,47.34,45.24666666666667,42.553333333333335,38.54,20.03,19.353333333333335,18.76,17.55333333333333,15.216666666666669
videomae,person,43.24,41.843333333333334,40.21333333333333,38.13333333333333,34.306666666666665,56.03,55.22666666666667,53.75333333333333,51.32,47.919999999999995,27.540000000000003,27.123333333333335,26.516666666666666,25.373333333333335,22.96666666666667
videomae,recordings,42.056666666666665,40.13333333333333,38.196666666666665,35.833333333333336,32.79333333333333,53.93333333333334,52.99333333333333,51.586666666666666,49.71666666666667,46.28666666666667,26.38,25.77,24.753333333333334,23.663333333333338,21.743333333333336
