,,Recall@1x,Recall@1x,Recall@1x,Recall@1x,Recall@1x,Recall@5x,Recall@5x,Recall@5x,Recall@5x,Recall@5x,mAP,mAP,mAP,mAP,mAP
IoU,,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5
Backbone,DivisionType,,,,,,,,,,,,,,,
3dresnet,environment,15.31,14.15,12.69,10.76,9.08,23.2,22.49,21.45,19.27,16.57,9.74,9.16,8.31,7.47,6.22
3dresnet,person,27.14,25.64,23.4,21.55,19.21,39.57,38.58,37.32,36.03,33.64,13.82,13.46,12.94,12.21,10.88
3dresnet,recordings,25.96,25.03,23.47,21.91,19.5,37.84,37.13,36.07,34.2,31.76,13.22,12.96,12.48,11.98,10.8
omnivore_1s,environment,19.6,18.57,17.54,16.29,14.63,27.06,25.87,24.45,22.3,20.96,12.51,12.2,11.66,10.92,9.94
omnivore_1s,person,31.51,30.34,28.81,27.22,24.96,40.93,40.48,39.6,38.16,36.77,21.28,20.85,20.12,19.38,18.08
omnivore_1s,recordings,31.28,30.34,28.66,26.97,24.28,41.24,40.36,39.33,37.49,35.35,19.54,19.13,18.4,17.59,16.27
omnivore_3s,environment,22.25,21.34,19.47,18.76,15.93,28.02,27.28,25.75,24.46,21.97,15.12,14.69,13.61,13.14,11.58
omnivore_3s,person,33.9,32.95,32.32,30.48,27.84,42.15,41.77,40.82,39.53,38.32,22.7,22.33,21.97,21.19,20.07
omnivore_3s,recordings,33.55,32.65,31.11,29.73,27.76,41.19,40.59,39.61,38.7,36.7,22.21,21.78,21.18,20.74,19.45
omnivore_3s_45sub,environment,20.85,19.67,17.94,16.7,14.21,28.43,27.25,26.17,24.63,22.21,13.53,12.99,11.96,11.24,10.39
omnivore_3s_45sub,person,34.87,34.08,32.81,31.08,28.98,42.11,41.66,40.7,39.52,37.72,22.35,22.17,21.81,21.08,19.85
omnivore_3s_45sub,recordings,32.93,31.82,30.27,28.74,26.51,41.86,41.19,40.2,38.74,36.65,21.03,20.7,20.13,19.43,18.18
omnivore_4s,environment,21.44,20.56,18.29,17.28,15.67,28.92,27.69,27.03,25.31,22.58,14.24,13.73,13.13,12.4,11.67
omnivore_4s,person,34.39,33.46,32.3,30.86,28.25,42.6,42.15,41.15,39.78,37.5,23.64,23.38,22.83,22.2,20.94
omnivore_4s,recordings,33.98,33.31,31.94,30.59,28.73,41.82,41.29,39.82,38.76,36.74,22.04,21.72,21.06,20.41,19.12
omnivore_4s_60sub,environment,21.87,19.62,18.64,17.18,14.62,28.94,28.0,26.77,25.13,22.05,13.61,12.84,12.27,11.78,10.48
omnivore_4s_60sub,person,34.22,33.56,32.5,30.49,28.42,42.05,41.31,40.63,39.45,37.75,22.49,22.27,21.97,21.02,19.67
omnivore_4s_60sub,recordings,33.15,32.13,30.89,29.0,26.83,41.78,41.1,40.61,38.98,36.86,21.51,21.21,20.69,19.75,18.46
slowfast,environment,16.16,14.64,13.02,11.19,9.54,23.32,22.2,20.39,18.8,15.83,10.11,9.47,9.0,8.14,7.53
slowfast,person,26.68,25.72,24.73,23.27,21.76,39.97,39.11,37.71,36.2,34.37,14.78,14.53,14.14,13.39,12.56
slowfast,recordings,27.52,26.23,24.91,23.29,21.53,39.19,38.34,37.19,34.85,32.39,14.11,13.75,13.34,12.79,11.9
videomae,environment,13.54,12.1,11.4,10.48,8.55,20.52,19.77,18.36,17.09,15.13,7.53,7.22,6.93,6.54,5.63
videomae,person,27.43,26.45,25.53,23.87,22.03,37.76,37.03,36.03,34.19,32.07,16.98,16.72,16.46,15.73,14.64
videomae,recordings,25.94,24.65,23.23,21.48,19.83,33.97,33.44,32.35,31.01,28.99,15.43,14.94,14.44,13.88,12.96
